"Block","Treatment","Date_collected","Horizon","Root_type","Plot_root_ID","Nitrogen_percent","Carbon_percent","Notes"
1,"CT",2024-07-24,"O","Fine","1",0.957558155059814,48.7275886535645,NA
1,"CT",2024-07-24,"M","Fine","4",1.12257146835327,41.2821846008301,NA
1,"CT",2024-07-24,"O","Erivag","3",0.643406391143799,23.5383243560791,NA
1,"CT",2024-07-24,"M","Erivag","6",0.492385536432266,37.9727973937988,NA
1,"F0.5",2024-07-25,"O","Fine","49",0.862304747104645,46.0957565307617,NA
1,"F0.5",2024-07-25,"M","Fine","52",0.796175599098206,40.7794418334961,NA
1,"F0.5",2024-07-25,"M","Erivag","54",0.442324936389923,40.7929954528809,NA
1,"F1",2024-07-25,"O","Fine","73",1.03656196594238,44.4613342285156,NA
1,"F1",2024-07-25,"M","Fine","76",0.99709415435791,45.7333030700684,NA
1,"F2",2024-07-25,"M","Fine","100",0.688775599002838,41.4493713378906,NA
1,"F2",2024-07-25,"M","Fine","100",0.702066242694855,40.2504730224609,NA
1,"F2",2024-07-25,"M","Erivag","102",1.68264818191528,45.0987663269043,NA
1,"F5",2024-07-25,"M","Erivag","132",1.76356148719788,41.5946998596191,NA
1,"F2",2024-07-25,"O","Coarse","104",0.754563570022583,49.1801719665527,NA
1,"F1",2024-07-25,"O","Erivag","96",1.54279804229736,45.7270202636719,NA
1,"F2",2024-07-25,"O","Erivag","111",1.90476417541504,47.5366287231445,NA
1,"F5",2024-07-25,"O","Fine","121",1.44247007369995,45.7661666870117,NA
1,"F5",2024-07-25,"M","Fine","130",1.41082084178925,40.5693626403809,NA
1,"F2",2024-07-25,"O","Fine","97",2.01317000389099,46.9816131591797,NA
1,"F10",2024-07-24,"O","Fine","25",1.5958389043808,48.7412643432617,NA
2,"F1",2024-07-25,"M","Fine","208",1.05725872516632,45.2021141052246,NA
2,"F1",2024-07-25,"M","Fine","208",1.07229113578796,45.0116386413574,NA
1,"F10",2024-07-24,"M","Fine","46",1.41969859600067,42.7018432617188,NA
1,"F10",2024-07-24,"O","Erivag","33",2.6024158000946,47.4056091308594,NA
2,"CT",2024-07-25,"O","Fine","151",0.965874254703522,50.5162734985352,NA
2,"CT",2024-07-25,"M","Fine","154",0.985645055770874,44.9613380432129,NA
2,"F0.5",2024-07-25,"O","Fine","175",0.932527422904968,46.8476524353027,NA
2,"F2",2024-07-25,"M","Erivag","228",1.46824669837952,37.7639656066895,NA
2,"F0.5",2024-07-25,"M","Fine","178",1.04715669155121,46.0089111328125,NA
2,"F0.5",2024-07-25,"O","Coarse","188",0.551401317119598,48.7608604431152,NA
2,"F0.5",2024-07-25,"O","Erivag","177",0.605811178684235,46.7124671936035,NA
2,"F1",2024-07-25,"O","Fine","199",0.934188067913055,50.6606979370117,NA
2,"F1",2024-07-25,"O","Fine","199",0.917623698711395,51.0116157531738,NA
2,"F5",2024-07-25,"O","Fine","247",1.98129069805145,51.4838752746582,NA
2,"F1",2024-07-25,"O","Erivag","201",0.894423067569733,46.691780090332,NA
2,"F1",2024-07-25,"M","Erivag","210",0.920580923557281,36.9167251586914,NA
2,"F2",2024-07-25,"O","Fine","223",1.09201347827911,51.2822494506836,NA
2,"F2",2024-07-25,"O","Erivag","225",0.916061580181122,46.4673728942871,NA
2,"F5",2024-07-25,"M","Erivag","258",1.46898007392883,44.774845123291,NA
2,"CT",2024-07-25,"M","Erivag","162",2.03997611999512,41.7469253540039,NA
2,"F10",2024-07-26,"O","Fine","271",1.94675970077515,47.2313117980957,NA
2,"F2",2024-07-25,"M","Fine","226",1.01235449314117,43.442138671875,NA
2,"F10",2024-07-26,"M","Fine","274",1.84941256046295,45.2751312255859,NA
2,"F10",2024-07-26,"M","Fine","274",1.79799067974091,45.3680763244629,NA
3,"CT",2024-07-26,"O","Fine","301",1.04318070411682,49.5689811706543,NA
3,"CT",2024-07-26,"O","Erivag","303",0.600011169910431,46.3185844421387,NA
3,"CT",2024-07-26,"M","Fine","304",1.045978307724,34.9890060424805,NA
3,"CT",2024-07-26,"M","Erivag","306",0.549786031246185,42.1658401489258,NA
3,"F0.5",2024-07-26,"O","Fine","325",1.16823863983154,47.6525382995605,NA
3,"F0.5",2024-07-26,"M","Fine","328",0.973522126674652,41.2031555175781,NA
3,"F1",2024-07-26,"O","Erivag","357",0.82732218503952,45.7093963623047,NA
3,"F1",2024-07-26,"O","Fine","349",1.32444190979004,49.2680854797363,NA
3,"F1",2024-07-26,"M","Fine","352",1.03888368606567,39.5679321289062,NA
3,"F5",2024-07-26,"O","Fine","397",1.50906491279602,47.0109939575195,NA
3,"F5",2024-07-26,"O","Fine","397",1.57830858230591,48.4604454040527,NA
3,"F10",2024-07-26,"M","Fine","424",1.31452357769012,45.647388458252,NA
3,"F0.5",2024-07-26,"O","Coarse","332",0.470245957374573,53.3246765136719,NA
3,"F0.5",2024-07-26,"O","Erivag","327",1.14282786846161,44.8800849914551,NA
3,"F2",2024-07-26,"M","Fine","376",0.397684812545776,31.4308242797852,NA
3,"F10",2024-07-26,"O","Fine","421",1.77037334442139,50.2462692260742,NA
3,"F5",2024-07-26,"M","Fine","400",1.798344373703,44.0638847351074,NA
2,"F5",2024-07-25,"M","Fine","256",1.10652685165405,40.3947563171387,NA
3,"F10",2024-07-26,"O","Coarse","422",0.907632410526276,52.3305435180664,NA
2,"F0.5",2024-07-25,"M","Erivag","180",1.03088927268982,39.7331390380859,NA
2,"F0.5",2024-07-25,"M","Erivag","180",0.995671927928925,39.6616973876953,NA
1,"F5",2024-07-25,"O","Coarse","134",0.632718443870544,50.0462493896484,NA
3,"F5",2024-07-26,"O","Erivag","405",2.17233300209045,43.1104850769043,NA
3,"F2",2024-07-26,"O","Fine","373",1.33493852615356,46.9060592651367,NA
3,"F2",2024-07-26,"M","Erivag","378",0.845249712467194,41.540111541748,NA
3,"F2",2024-07-26,"M","Coarse","389",0.70855712890625,45.0304527282715,NA
3,"CT",2024-07-26,"O","Coarse","320",0.480611354112625,46.1857872009277,NA
3,"F5",2024-07-26,"M","Erivag","408",1.75467908382416,43.6043167114258,NA
3,"F0.5",2024-07-26,"M","Erivag","330",0.837088406085968,41.0685081481934,NA
