"Block","Treatment","Surface_area_cm2","Tissue","ID"
1,"CT",400,"Erivag_BladeSheathInflCulm","264"
1,"CT",400,"Erivag_Rhizome","268"
1,"CT",400,"Carbig_BladeSheathInflCulm","285"
1,"CT",400,"Carbig_Rhizome","258"
1,"CT",400,"OtherGraminoid_BladeSheathInflCulm","204"
1,"CT",400,"OtherGraminoid_Rhizome","205"
1,"CT",400,"Betnan_NewLeaves","17"
1,"CT",400,"Betnan_NewStems","18"
1,"CT",400,"Betnan_OldStems","19"
1,"CT",400,"Betnan_Inflor","20"
1,"CT",400,"Betnan_BelowStem","230"
1,"CT",400,"Salpul_NewLeaves",NA
1,"CT",400,"Salpul_NewStems",NA
1,"CT",400,"Salpul_OldStems",NA
1,"CT",400,"Salpul_Inflor",NA
1,"CT",400,"Salpul_BelowStem",NA
1,"CT",400,"Vaculi_NewLeaves",NA
1,"CT",400,"Vaculi_NewStems",NA
1,"CT",400,"Vaculi_OldStems",NA
1,"CT",400,"Vaculi_Inflor",NA
1,"CT",400,"Vaculi_BelowStem",NA
1,"CT",400,"OtherDeciduous_NewLeaves",NA
1,"CT",400,"OtherDeciduous_NewStems",NA
1,"CT",400,"OtherDeciduous_OldStems",NA
1,"CT",400,"OtherDeciduous_Inflor",NA
1,"CT",400,"OtherDeciduous_BelowStem",NA
1,"CT",400,"Ledpal_NewLeaves","281"
1,"CT",400,"Ledpal_NewStems","282"
1,"CT",400,"Ledpal_OldLeaves","283"
1,"CT",400,"Ledpal_OldStems","284"
1,"CT",400,"Ledpal_Inflor","212"
1,"CT",400,"Ledpal_BelowStem","213"
1,"CT",400,"Vacvit_NewLeaves","277"
1,"CT",400,"Vacvit_NewStems","278"
1,"CT",400,"Vacvit_OldLeaves","222"
1,"CT",400,"Vacvit_OldStems","279"
1,"CT",400,"Vacvit_Inflor","276"
1,"CT",400,"Vacvit_BelowStem","280"
1,"CT",400,"Castet_NewStems",NA
1,"CT",400,"Castet_OldStems",NA
1,"CT",400,"Castet_Inflor",NA
1,"CT",400,"Castet_BelowStem",NA
1,"CT",400,"OtherEvergreen_NewLeaves","261"
1,"CT",400,"OtherEvergreen_NewStems","265"
1,"CT",400,"OtherEvergreen_OldLeaves","266"
1,"CT",400,"OtherEvergreen_OldStems","267"
1,"CT",400,"OtherEvergreen_Inflor","25"
1,"CT",400,"OtherEvergreen_BelowStem","26"
1,"CT",400,"Rubcha_LeavesStems","274"
1,"CT",400,"Rubcha_InflorStalks",NA
1,"CT",400,"Rubcha_BelowStem","275"
1,"CT",400,"Petfri_LeavesStems",NA
1,"CT",400,"Petfri_InflorStalks",NA
1,"CT",400,"Petfri_BelowStem",NA
1,"CT",400,"OtherForb_LeavesStems","229"
1,"CT",400,"OtherForb_InflorStalks",NA
1,"CT",400,"OtherForb_BelowStem","59"
1,"CT",400,"Sphagnum_Green","273"
1,"CT",400,"OtherMoss_Green","269"
1,"CT",400,"Lichen_Live","270"
1,"CT",400,"Attached_Wood","226"
1,"CT",400,"Attached_Litter","272"
1,"CT",400,"Loose_Litter","271"
1,"F0.5",400,"Erivag_BladeSheathInflCulm","1648"
1,"F0.5",400,"Erivag_Rhizome","1649"
1,"F0.5",400,"Carbig_BladeSheathInflCulm","1650"
1,"F0.5",400,"Carbig_Rhizome","1669"
1,"F0.5",400,"OtherGraminoid_BladeSheathInflCulm",NA
1,"F0.5",400,"OtherGraminoid_Rhizome",NA
1,"F0.5",400,"Betnan_NewLeaves","1627"
1,"F0.5",400,"Betnan_NewStems","1628"
1,"F0.5",400,"Betnan_OldStems","1629"
1,"F0.5",400,"Betnan_Inflor",NA
1,"F0.5",400,"Betnan_BelowStem","1630"
1,"F0.5",400,"Salpul_NewLeaves","1930"
1,"F0.5",400,"Salpul_NewStems","1931"
1,"F0.5",400,"Salpul_OldStems","1932"
1,"F0.5",400,"Salpul_Inflor",NA
1,"F0.5",400,"Salpul_BelowStem","1933"
1,"F0.5",400,"Vaculi_NewLeaves","1637"
1,"F0.5",400,"Vaculi_NewStems","1638"
1,"F0.5",400,"Vaculi_OldStems","1639"
1,"F0.5",400,"Vaculi_Inflor",NA
1,"F0.5",400,"Vaculi_BelowStem","1640"
1,"F0.5",400,"OtherDeciduous_NewLeaves",NA
1,"F0.5",400,"OtherDeciduous_NewStems",NA
1,"F0.5",400,"OtherDeciduous_OldStems",NA
1,"F0.5",400,"OtherDeciduous_Inflor",NA
1,"F0.5",400,"OtherDeciduous_BelowStem",NA
1,"F0.5",400,"Ledpal_NewLeaves","1631"
1,"F0.5",400,"Ledpal_NewStems","1632"
1,"F0.5",400,"Ledpal_OldLeaves","1633"
1,"F0.5",400,"Ledpal_OldStems","1634"
1,"F0.5",400,"Ledpal_Inflor","1635"
1,"F0.5",400,"Ledpal_BelowStem","1636"
1,"F0.5",400,"Vacvit_NewLeaves","1641"
1,"F0.5",400,"Vacvit_NewStems","1642"
1,"F0.5",400,"Vacvit_OldLeaves","1643"
1,"F0.5",400,"Vacvit_OldStems","1644"
1,"F0.5",400,"Vacvit_Inflor","1670"
1,"F0.5",400,"Vacvit_BelowStem","1645"
1,"F0.5",400,"Castet_NewStems",NA
1,"F0.5",400,"Castet_OldStems",NA
1,"F0.5",400,"Castet_Inflor",NA
1,"F0.5",400,"Castet_BelowStem",NA
1,"F0.5",400,"OtherEvergreen_NewLeaves","1652"
1,"F0.5",400,"OtherEvergreen_NewStems","1653"
1,"F0.5",400,"OtherEvergreen_OldLeaves","1654"
1,"F0.5",400,"OtherEvergreen_OldStems","1655"
1,"F0.5",400,"OtherEvergreen_Inflor",NA
1,"F0.5",400,"OtherEvergreen_BelowStem","1656"
1,"F0.5",400,"Rubcha_LeavesStems","1699"
1,"F0.5",400,"Rubcha_InflorStalks",NA
1,"F0.5",400,"Rubcha_BelowStem","1701"
1,"F0.5",400,"Petfri_LeavesStems",NA
1,"F0.5",400,"Petfri_InflorStalks",NA
1,"F0.5",400,"Petfri_BelowStem",NA
1,"F0.5",400,"OtherForb_LeavesStems","1704"
1,"F0.5",400,"OtherForb_InflorStalks","1705"
1,"F0.5",400,"OtherForb_BelowStem","1723"
1,"F0.5",400,"Sphagnum_Green","1707"
1,"F0.5",400,"OtherMoss_Green","1646"
1,"F0.5",400,"Lichen_Live","1647"
1,"F0.5",400,"Attached_Wood",NA
1,"F0.5",400,"Attached_Litter","1739"
1,"F0.5",400,"Loose_Litter",NA
1,"F1",400,"Erivag_BladeSheathInflCulm","233"
1,"F1",400,"Erivag_Rhizome","234"
1,"F1",400,"Carbig_BladeSheathInflCulm","308"
1,"F1",400,"Carbig_Rhizome","316"
1,"F1",400,"OtherGraminoid_BladeSheathInflCulm",NA
1,"F1",400,"OtherGraminoid_Rhizome",NA
1,"F1",400,"Betnan_NewLeaves","235"
1,"F1",400,"Betnan_NewStems","236"
1,"F1",400,"Betnan_OldStems","237"
1,"F1",400,"Betnan_Inflor","238"
1,"F1",400,"Betnan_BelowStem","239"
1,"F1",400,"Salpul_NewLeaves",NA
1,"F1",400,"Salpul_NewStems",NA
1,"F1",400,"Salpul_OldStems",NA
1,"F1",400,"Salpul_Inflor",NA
1,"F1",400,"Salpul_BelowStem",NA
1,"F1",400,"Vaculi_NewLeaves","317"
1,"F1",400,"Vaculi_NewStems","318"
1,"F1",400,"Vaculi_OldStems","319"
1,"F1",400,"Vaculi_Inflor",NA
1,"F1",400,"Vaculi_BelowStem","320"
1,"F1",400,"OtherDeciduous_NewLeaves",NA
1,"F1",400,"OtherDeciduous_NewStems",NA
1,"F1",400,"OtherDeciduous_OldStems",NA
1,"F1",400,"OtherDeciduous_Inflor",NA
1,"F1",400,"OtherDeciduous_BelowStem",NA
1,"F1",400,"Ledpal_NewLeaves","240"
1,"F1",400,"Ledpal_NewStems","301"
1,"F1",400,"Ledpal_OldLeaves","302"
1,"F1",400,"Ledpal_OldStems","303"
1,"F1",400,"Ledpal_Inflor","304"
1,"F1",400,"Ledpal_BelowStem","305"
1,"F1",400,"Vacvit_NewLeaves","310"
1,"F1",400,"Vacvit_NewStems","311"
1,"F1",400,"Vacvit_OldLeaves","312"
1,"F1",400,"Vacvit_OldStems","313"
1,"F1",400,"Vacvit_Inflor","314"
1,"F1",400,"Vacvit_BelowStem","315"
1,"F1",400,"Castet_NewStems","392"
1,"F1",400,"Castet_OldStems","393"
1,"F1",400,"Castet_Inflor",NA
1,"F1",400,"Castet_BelowStem","394"
1,"F1",400,"OtherEvergreen_NewLeaves",NA
1,"F1",400,"OtherEvergreen_NewStems",NA
1,"F1",400,"OtherEvergreen_OldLeaves",NA
1,"F1",400,"OtherEvergreen_OldStems",NA
1,"F1",400,"OtherEvergreen_Inflor",NA
1,"F1",400,"OtherEvergreen_BelowStem",NA
1,"F1",400,"Rubcha_LeavesStems","395"
1,"F1",400,"Rubcha_InflorStalks",NA
1,"F1",400,"Rubcha_BelowStem","321"
1,"F1",400,"Petfri_LeavesStems",NA
1,"F1",400,"Petfri_InflorStalks",NA
1,"F1",400,"Petfri_BelowStem",NA
1,"F1",400,"OtherForb_LeavesStems","306"
1,"F1",400,"OtherForb_InflorStalks",NA
1,"F1",400,"OtherForb_BelowStem",NA
1,"F1",400,"Sphagnum_Green",NA
1,"F1",400,"OtherMoss_Green","232"
1,"F1",400,"Lichen_Live","231"
1,"F1",400,"Attached_Wood",NA
1,"F1",400,"Attached_Litter","307"
1,"F1",400,"Loose_Litter","287"
1,"F2",400,"Erivag_BladeSheathInflCulm","88"
1,"F2",400,"Erivag_Rhizome","68"
1,"F2",400,"Carbig_BladeSheathInflCulm","86"
1,"F2",400,"Carbig_Rhizome","482"
1,"F2",400,"OtherGraminoid_BladeSheathInflCulm","483"
1,"F2",400,"OtherGraminoid_Rhizome","484"
1,"F2",400,"Betnan_NewLeaves","89"
1,"F2",400,"Betnan_NewStems","69"
1,"F2",400,"Betnan_OldStems","72"
1,"F2",400,"Betnan_Inflor","75"
1,"F2",400,"Betnan_BelowStem","415"
1,"F2",400,"Salpul_NewLeaves",NA
1,"F2",400,"Salpul_NewStems",NA
1,"F2",400,"Salpul_OldStems",NA
1,"F2",400,"Salpul_Inflor",NA
1,"F2",400,"Salpul_BelowStem",NA
1,"F2",400,"Vaculi_NewLeaves",NA
1,"F2",400,"Vaculi_NewStems",NA
1,"F2",400,"Vaculi_OldStems",NA
1,"F2",400,"Vaculi_Inflor",NA
1,"F2",400,"Vaculi_BelowStem",NA
1,"F2",400,"OtherDeciduous_NewLeaves",NA
1,"F2",400,"OtherDeciduous_NewStems",NA
1,"F2",400,"OtherDeciduous_OldStems",NA
1,"F2",400,"OtherDeciduous_Inflor",NA
1,"F2",400,"OtherDeciduous_BelowStem",NA
1,"F2",400,"Ledpal_NewLeaves","70"
1,"F2",400,"Ledpal_NewStems","73"
1,"F2",400,"Ledpal_OldLeaves","76"
1,"F2",400,"Ledpal_OldStems","79"
1,"F2",400,"Ledpal_Inflor","85"
1,"F2",400,"Ledpal_BelowStem","82"
1,"F2",400,"Vacvit_NewLeaves","78"
1,"F2",400,"Vacvit_NewStems","81"
1,"F2",400,"Vacvit_OldLeaves","84"
1,"F2",400,"Vacvit_OldStems","87"
1,"F2",400,"Vacvit_Inflor",NA
1,"F2",400,"Vacvit_BelowStem","495"
1,"F2",400,"Castet_NewStems",NA
1,"F2",400,"Castet_OldStems",NA
1,"F2",400,"Castet_Inflor",NA
1,"F2",400,"Castet_BelowStem",NA
1,"F2",400,"OtherEvergreen_NewLeaves",NA
1,"F2",400,"OtherEvergreen_NewStems",NA
1,"F2",400,"OtherEvergreen_OldLeaves",NA
1,"F2",400,"OtherEvergreen_OldStems",NA
1,"F2",400,"OtherEvergreen_Inflor",NA
1,"F2",400,"OtherEvergreen_BelowStem",NA
1,"F2",400,"Rubcha_LeavesStems","77"
1,"F2",400,"Rubcha_InflorStalks","80"
1,"F2",400,"Rubcha_BelowStem","83"
1,"F2",400,"Petfri_LeavesStems",NA
1,"F2",400,"Petfri_InflorStalks",NA
1,"F2",400,"Petfri_BelowStem",NA
1,"F2",400,"OtherForb_LeavesStems",NA
1,"F2",400,"OtherForb_InflorStalks",NA
1,"F2",400,"OtherForb_BelowStem",NA
1,"F2",400,"Sphagnum_Green","74"
1,"F2",400,"OtherMoss_Green","498"
1,"F2",400,"Lichen_Live","71"
1,"F2",400,"Attached_Wood",NA
1,"F2",400,"Attached_Litter","90"
1,"F2",400,"Loose_Litter",NA
1,"F5",400,"Erivag_BladeSheathInflCulm","93"
1,"F5",400,"Erivag_Rhizome",NA
1,"F5",400,"Carbig_BladeSheathInflCulm","337"
1,"F5",400,"Carbig_Rhizome","338"
1,"F5",400,"OtherGraminoid_BladeSheathInflCulm","119"
1,"F5",400,"OtherGraminoid_Rhizome","96"
1,"F5",400,"Betnan_NewLeaves","108"
1,"F5",400,"Betnan_NewStems","105"
1,"F5",400,"Betnan_OldStems","111"
1,"F5",400,"Betnan_Inflor","348"
1,"F5",400,"Betnan_BelowStem","114"
1,"F5",400,"Salpul_NewLeaves",NA
1,"F5",400,"Salpul_NewStems",NA
1,"F5",400,"Salpul_OldStems",NA
1,"F5",400,"Salpul_Inflor",NA
1,"F5",400,"Salpul_BelowStem",NA
1,"F5",400,"Vaculi_NewLeaves",NA
1,"F5",400,"Vaculi_NewStems",NA
1,"F5",400,"Vaculi_OldStems",NA
1,"F5",400,"Vaculi_Inflor",NA
1,"F5",400,"Vaculi_BelowStem",NA
1,"F5",400,"OtherDeciduous_NewLeaves","135"
1,"F5",400,"OtherDeciduous_NewStems","136"
1,"F5",400,"OtherDeciduous_OldStems",NA
1,"F5",400,"OtherDeciduous_Inflor",NA
1,"F5",400,"OtherDeciduous_BelowStem",NA
1,"F5",400,"Ledpal_NewLeaves","118"
1,"F5",400,"Ledpal_NewStems","115"
1,"F5",400,"Ledpal_OldLeaves","92"
1,"F5",400,"Ledpal_OldStems","95"
1,"F5",400,"Ledpal_Inflor","98"
1,"F5",400,"Ledpal_BelowStem","101"
1,"F5",400,"Vacvit_NewLeaves","104"
1,"F5",400,"Vacvit_NewStems","107"
1,"F5",400,"Vacvit_OldLeaves","110"
1,"F5",400,"Vacvit_OldStems","113"
1,"F5",400,"Vacvit_Inflor",NA
1,"F5",400,"Vacvit_BelowStem","116"
1,"F5",400,"Castet_NewStems",NA
1,"F5",400,"Castet_OldStems",NA
1,"F5",400,"Castet_Inflor",NA
1,"F5",400,"Castet_BelowStem",NA
1,"F5",400,"OtherEvergreen_NewLeaves",NA
1,"F5",400,"OtherEvergreen_NewStems",NA
1,"F5",400,"OtherEvergreen_OldLeaves",NA
1,"F5",400,"OtherEvergreen_OldStems",NA
1,"F5",400,"OtherEvergreen_Inflor",NA
1,"F5",400,"OtherEvergreen_BelowStem",NA
1,"F5",400,"Rubcha_LeavesStems","109"
1,"F5",400,"Rubcha_InflorStalks",NA
1,"F5",400,"Rubcha_BelowStem","112"
1,"F5",400,"Petfri_LeavesStems",NA
1,"F5",400,"Petfri_InflorStalks",NA
1,"F5",400,"Petfri_BelowStem",NA
1,"F5",400,"OtherForb_LeavesStems",NA
1,"F5",400,"OtherForb_InflorStalks",NA
1,"F5",400,"OtherForb_BelowStem",NA
1,"F5",400,"Sphagnum_Green",NA
1,"F5",400,"OtherMoss_Green","102"
1,"F5",400,"Lichen_Live","339"
1,"F5",400,"Attached_Wood","349"
1,"F5",400,"Attached_Litter","99"
1,"F5",400,"Loose_Litter",NA
1,"F10",400,"Erivag_BladeSheathInflCulm","31"
1,"F10",400,"Erivag_Rhizome","45"
1,"F10",400,"Carbig_BladeSheathInflCulm",NA
1,"F10",400,"Carbig_Rhizome",NA
1,"F10",400,"OtherGraminoid_BladeSheathInflCulm","32"
1,"F10",400,"OtherGraminoid_Rhizome","46"
1,"F10",400,"Betnan_NewLeaves","33"
1,"F10",400,"Betnan_NewStems","34"
1,"F10",400,"Betnan_OldStems","35"
1,"F10",400,"Betnan_Inflor","9"
1,"F10",400,"Betnan_BelowStem","36"
1,"F10",400,"Salpul_NewLeaves",NA
1,"F10",400,"Salpul_NewStems",NA
1,"F10",400,"Salpul_OldStems",NA
1,"F10",400,"Salpul_Inflor",NA
1,"F10",400,"Salpul_BelowStem",NA
1,"F10",400,"Vaculi_NewLeaves",NA
1,"F10",400,"Vaculi_NewStems",NA
1,"F10",400,"Vaculi_OldStems",NA
1,"F10",400,"Vaculi_Inflor",NA
1,"F10",400,"Vaculi_BelowStem",NA
1,"F10",400,"OtherDeciduous_NewLeaves",NA
1,"F10",400,"OtherDeciduous_NewStems",NA
1,"F10",400,"OtherDeciduous_OldStems",NA
1,"F10",400,"OtherDeciduous_Inflor",NA
1,"F10",400,"OtherDeciduous_BelowStem",NA
1,"F10",400,"Ledpal_NewLeaves","37"
1,"F10",400,"Ledpal_NewStems","38"
1,"F10",400,"Ledpal_OldLeaves","160"
1,"F10",400,"Ledpal_OldStems","39"
1,"F10",400,"Ledpal_Inflor","162"
1,"F10",400,"Ledpal_BelowStem","16"
1,"F10",400,"Vacvit_NewLeaves",NA
1,"F10",400,"Vacvit_NewStems",NA
1,"F10",400,"Vacvit_OldLeaves",NA
1,"F10",400,"Vacvit_OldStems",NA
1,"F10",400,"Vacvit_Inflor",NA
1,"F10",400,"Vacvit_BelowStem",NA
1,"F10",400,"Castet_NewStems",NA
1,"F10",400,"Castet_OldStems",NA
1,"F10",400,"Castet_Inflor",NA
1,"F10",400,"Castet_BelowStem",NA
1,"F10",400,"OtherEvergreen_NewLeaves",NA
1,"F10",400,"OtherEvergreen_NewStems",NA
1,"F10",400,"OtherEvergreen_OldLeaves",NA
1,"F10",400,"OtherEvergreen_OldStems",NA
1,"F10",400,"OtherEvergreen_Inflor",NA
1,"F10",400,"OtherEvergreen_BelowStem",NA
1,"F10",400,"Rubcha_LeavesStems","40"
1,"F10",400,"Rubcha_InflorStalks","12"
1,"F10",400,"Rubcha_BelowStem","41"
1,"F10",400,"Petfri_LeavesStems",NA
1,"F10",400,"Petfri_InflorStalks",NA
1,"F10",400,"Petfri_BelowStem",NA
1,"F10",400,"OtherForb_LeavesStems",NA
1,"F10",400,"OtherForb_InflorStalks",NA
1,"F10",400,"OtherForb_BelowStem",NA
1,"F10",400,"Sphagnum_Green",NA
1,"F10",400,"OtherMoss_Green",NA
1,"F10",400,"Lichen_Live",NA
1,"F10",400,"Attached_Wood","42"
1,"F10",400,"Attached_Litter","43"
1,"F10",400,"Loose_Litter","44"
2,"CT",400,"Erivag_BladeSheathInflCulm","765"
2,"CT",400,"Erivag_Rhizome","762"
2,"CT",400,"Carbig_BladeSheathInflCulm","860"
